kabupaten,pilar_1,pilar_1_01_Kejadian Pungutan Liar,pilar_1_02_Jumlah Kejadian Tingkat Pembun,pilar_1_03_Transparansi Anggaran,pilar_1_04_Sistem Pemerintahan Berbasis E,pilar_1_05_Kinerja Instansi Pemerintah,pilar_1_06_Pelaksanaan reformasi birokras,pilar_1_07_Upaya Pencegahan Korupsi,pilar_1_08_Kejahatan Terhadap Hak Atas Ke,pilar_1_09_Kualitas Administrasi Pertanah,pilar_1_10_Tingkat pengelolaan lingkungan,pilar_1_11_indikator_14,pilar_2,pilar_2_01_Aksesibilitas Jalan,pilar_2_02_Kualitas Infrastruktur Jalan,pilar_2_03_Layanan Infrastruktur Stasiun ,pilar_2_04_Layanan Infrastruktur Bandara,pilar_2_05_Layanan Infrastruktur Pelabuha,pilar_2_06_Rasio Elektrifikasi,pilar_2_07_Akses Air Minum Layak,pilar_2_08_Tingkat Kehilangan Air,pilar_2_09_indikator_23,pilar_3,pilar_3_01_Pengguna Telepon Seluler,pilar_3_02_Jangkauan jaringan 4G,pilar_3_03_Pengguna Internet,pilar_3_04_indikator_27,pilar_4,pilar_4_01_Kapasitas Fiskal Daerah,pilar_4_02_Pertumbuhan Ekonomi,pilar_4_03_Tingkat Pengangguran Terbuka,pilar_4_04_Indeks Ketahanan Pangan,pilar_4_05_Nilai ICOR (Investasi),pilar_4_06_indikator_33,pilar_5,pilar_5_01_Angka Harapan Hidup,pilar_6,pilar_6_01_Rata-rata tahun sekolah,pilar_6_02_Keterampilan lulusan,pilar_6_03_Kemudahan Menemukan Pekerja Te,pilar_6_04_Angka Harapan Sekolah,pilar_6_05_Berpikir Kritis dalam Mengajar,pilar_6_06_Rasio murid-guru pendidikan da,pilar_6_07_indikator_41,pilar_7,pilar_7_01_Persaingan Sektor Jasa,pilar_7_02_indikator_43,pilar_8,pilar_8_01_Kebijakan Pasar Tenaga Kerja A,pilar_8_02_Upah Pekerja,pilar_8_03_Kesetaraan Upah Perempuan dan ,pilar_8_04_indikator_47,pilar_9,pilar_9_01_Persentase kredit swasta terha,pilar_9_02_Nilai Akad Kredit Usaha Rakyat,pilar_9_03_indikator_50,pilar_10,pilar_10_01_PDRB ADHK 2010 (Miliar Rupiah),pilar_10_02_indikator_52,pilar_11,pilar_11_01_Pertumbuhan Nomor Induk Berusa,pilar_11_02_Kinerja Pelayanan Publik,pilar_11_03_indikator_55,pilar_12,pilar_12_01_Keanekaragaman tenaga kerja,pilar_12_02_Publikasi ilmiah,pilar_12_03_Aplikasi Kekayaan intelektual ,pilar_12_04_Belanja riset,pilar_12_05_Indeks keunggulan lembaga rise,pilar_12_06_Aplikasi merek dagang,pilar_12_07_indikator_62,pilar_12_08_indikator_63,pilar_12_09_indikator_64,pilar_12_10_indikator_65,pilar_12_11_indikator_66
ENDE,5,5,5,5,1.65,3,2.78,3.83,4.95,4.14,1.81,3.72,0.58,0.58,2.69,0,0.75,0.67,5,0.05,1.99,1.47,4.9,4.9,3.76,3.18,3.95,4.05,4.05,2.2,4.16,3.48,4.63,3.7,3.52,3.52,2.75,2.75,2.93,3.57,3.87,2.47,4.53,3.35,3.83,3.83,3.83,1.1,1.1,2.87,5,2.99,2.7,2.7,0.66,1.68,3.73,3.73,3.73,0.87,0.87,2.32,1.6,4.98,4.98,3.67,3.98,0.7,0.17,0,2.25,2.98,2.97,2.98,0
NGADA,5,5,4.44,5,2.16,3,3.33,4.48,4.97,4.63,2.34,3.94,1.3,1.3,2.47,0,0.75,0.19,4.63,1.65,2.64,1.7,4.02,4.02,3.74,3,3.59,3.56,3.56,2.17,3.84,3.99,2.55,3.22,3.71,3.71,2.88,2.88,3,3.69,3.54,2.64,4.56,3.38,3.33,3.33,3.33,1.09,1.09,2.88,4.3,2.76,2.7,2.7,0.51,1.61,3.47,3.47,3.47,0.65,0.65,3.37,2.01,4.8,4.8,2.86,3.75,0.11,0.01,0,1.92,2.89,2.88,2.89,0
MANGGARAI,5,5,5,5,2.91,3.5,3.33,4.38,4.97,4.64,2.29,4.1,2.38,2.38,3.76,0,0,0.67,5,0.55,3.38,1.97,4.41,4.41,3.79,3.07,3.75,4.57,4.57,1.57,3.55,3.59,5,3.66,3.64,3.64,2.55,2.55,2.71,3.33,3.82,2.64,4.15,3.2,4.13,4.13,4.13,1.56,1.56,3.07,3.27,2.63,3.05,3.05,0.5,1.77,3.58,3.58,3.58,5,5,3.34,4.17,4.81,4.81,3.63,3.45,1.97,0.05,1.68,2.6,3.27,3.27,3.27,0
ROTE NDAO,5,5,5,5,4.1,3,2.78,3.94,4.97,4.08,1.81,3.97,0.5,0.5,2.53,0,0.75,0.67,5,0.26,1.59,1.41,3.72,3.72,4.4,2.56,3.56,4.49,4.49,2.53,3.49,3.32,2.84,3.33,3.48,3.48,2.66,2.66,2.43,2.74,3.65,3.05,4.42,3.16,2.99,2.99,2.99,1.73,1.73,3.64,3.57,2.98,0.81,0.81,0.13,0.47,3.4,3.4,3.4,1.26,1.26,2.24,1.75,3.93,3.93,0,0,0.7,0.01,2.59,1.21,2.64,2.63,2.64,0
MANGGARAI BARAT,5,5,5,5,4.97,3.5,3.33,4.12,4.96,,2.29,,0.82,0.82,2.74,0,2.5,1.15,5,0.35,3.05,1.95,4.52,4.52,3.87,2.88,3.76,5,5,2.93,2.95,3.6,5,3.89,3.66,3.66,2.62,2.62,2.43,2.98,3.46,2.23,4.58,3.05,2.85,2.85,2.85,1.63,1.63,3.38,4.19,3.06,0.72,0.72,0.34,0.53,3.47,3.47,3.47,0.78,0.78,3.78,2.28,4.79,4.79,2.03,0,0.7,0.01,3.25,1.8,,0,,
SUMBA TENGAH,5,5,5,5,2.06,3,2.78,4.5,4.92,4.25,1.99,3.85,0.89,0.89,2.04,0,0,0.19,4.36,0.44,2.81,1.34,3.78,3.78,2.83,2.01,2.87,5,5,1.83,4.52,3.1,5,3.89,3.74,3.74,2.29,2.29,2.5,2.86,3.66,1.81,4.61,2.96,3.45,3.45,3.45,0.78,0.78,3.1,5,2.96,1.27,1.27,0.13,0.7,2.97,2.97,2.97,1.89,1.89,1.64,1.77,4.2,4.2,0,0,3.13,0,0,1.22,2.64,2.64,2.64,0
SUMBA BARAT DAYA,5,5,2.22,5,2.23,2.5,2.78,4.32,4.96,4.6,1.57,3.52,1.61,1.61,3.49,0,0.75,0.19,3.62,0.22,2.02,1.49,3.84,3.84,4.79,1.94,3.52,5,5,2.7,4.2,2.9,2.39,3.44,3.75,3.75,2.12,2.12,1.71,2.14,3.68,1.4,3.9,2.49,3.67,3.67,3.67,1.25,1.25,2.48,5,2.91,0.82,0.82,0.27,0.54,3.48,3.48,3.48,1.77,1.77,2.45,2.11,4.4,4.4,2.23,1.87,0.67,0.04,0,1.54,2.71,2.7,2.71,0
NAGEKEO,5,5,5,5,1.88,3.5,3.33,4.16,4.98,,2.18,,0.6,0.6,2.96,0,0,0.19,5,0.16,0.98,1.24,4.29,4.29,4.15,2.44,3.63,3.73,3.73,2.22,3.77,3.72,3.57,3.4,3.65,3.65,2.67,2.67,2.86,3.1,3.52,2.56,4.63,3.22,2.67,2.67,2.67,1.23,1.23,2.59,5,2.94,1.16,1.16,0.1,0.63,3.24,3.24,3.24,4.21,4.21,2.54,3.38,4.47,4.47,3.1,0,2.48,0.06,0,1.69,,0,,
MANGGARAI TIMUR,5,5,4.44,5,4.06,3.5,2.78,4.19,4.99,4.73,1.57,4.03,0.91,0.91,3.01,0,0.75,0.67,4.03,0.25,2.74,1.55,4.2,4.2,3.47,2.35,3.34,4.84,4.84,2.66,4.23,3.09,3.11,3.59,3.71,3.71,2.5,2.5,2.07,2.74,3.46,2.14,4.57,2.91,3.06,3.06,3.06,1.37,1.37,1.91,4.78,2.69,0.76,0.76,0.3,0.53,3.42,3.42,3.42,0.14,0.14,3.89,2.02,4.85,4.85,0,0,0.59,0,0,0.91,2.65,2.64,2.65,0
SABU RAIJUA,5,5,4.44,5,3.53,2.5,2.78,4.38,4.98,4.7,1.57,3.89,2.62,2.62,2.58,0,0.75,0.67,3.25,0.17,5,1.88,3.64,3.64,4.3,2.58,3.51,5,5,2.15,3.64,2.55,3.95,3.46,3.14,3.14,2.29,2.29,2.5,2.98,3.69,2.72,4.36,3.09,3.23,3.23,3.23,0.71,0.71,2.65,5,2.79,0.82,0.82,0.01,0.42,2.98,2.98,2.98,3.35,3.35,2.23,2.79,4.09,4.09,0,0,0.05,0,0,0.69,2.65,2.65,2.65,0
MALAKA,5,5,5,5,3.29,3,2.78,4.13,4.99,4.25,2.02,3.95,0.36,0.36,3.87,0,5,2.12,4.92,0.03,2.95,2.41,4.44,4.44,4.83,2.21,3.82,3.73,3.73,2.65,3.63,3.35,4.24,3.52,3.48,3.48,2.39,2.39,2.29,2.74,3.53,1.32,4.61,2.81,3.04,3.04,3.04,1.3,1.3,2.95,3.36,2.54,1.17,1.17,0.03,0.6,3.38,3.38,3.38,2.59,2.59,1.64,2.11,4.61,4.61,0,0,0.05,0,0,0.78,2.7,0,,2.7
KOTA KUPANG,5,5,5,5,3.39,3.5,3.89,4.29,4.73,4.87,2.21,4.19,5,5,4.89,0,5,2.12,5,1,0,2.88,5,5,5,5,5,3.37,3.37,2.44,1.39,3.78,5,3.2,3.85,3.85,3.92,3.92,5,4.64,4.64,2.97,4.26,4.24,5,5,5,2.6,2.6,5,4.86,4.16,3.76,3.76,0.92,2.34,4.34,4.34,4.34,0.95,0.95,2.74,1.84,4.21,4.21,4.61,4.79,5,1.12,3.44,3.86,3.74,0,3.74,0
