kabupaten,pilar_1,pilar_2,pilar_3,tahun
,0,0,0,2024
,0,0,0,2024
,78,79,75,2024
,0,0,0,2024
,0,0,0,2024
,82,87,85,2024
,0,0,0,2024
,0,0,0,2024
,0,0,0,2024
,0,0,0,2024
,0,0,0,2024
,81,83,80,2024
,0,0,0,2024
,0,0,0,2024
,0,0,0,2024
,0,0,0,2024
,68,75,63,2024
,0,0,0,2024
,0,0,0,2024
,72,70,76,2024
,0,0,0,2024
,0,0,0,2024
