kabupaten,pilar_1,pilar_2,pilar_3,tahun
NAN,0,0,0,2024
NAN,0,0,0,2024
NAN,78,79,75,2024
NAN,0,0,0,2024
ACEH,0,0,0,2024
ACEH,82,87,85,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,81,83,80,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,68,75,63,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
ACEH,72,70,76,2024
ACEH,0,0,0,2024
ACEH,0,0,0,2024
